other_names,name,email,url,jurisdiction__slug,address,contact,classification,tags,request_note,website_dump,description,parent__name
,Zahnärztekammer Saarland,mail@zaek-saar.de,http://www.zaek-saarland.de/,saarland,,,Kammer,,,,,
,Arbeitskammer des Saarlandes,horst.backes@arbeitskammer.de,http://www.arbeitskammer.de/,saarland,,,Kammer,,,,,
,Notarkammer Saarland,post@notare-saarland.de,http://www.notare-saarland.de/,saarland,,,Kammer,,,,,
,Psychotherapeutenkammer Saarland,kontakt@ptk-saar.de,www.ptk-saar.de,saarland,,,Kammer,,,,,
,Steuerberaterkammer Saarland,stbk@stbk-saarland.de,http://www.stbk-saarland.de,saarland,,,Kammer,,,,,
,Architektenkammer Sachsen,dresden@aksachsen.org,www.aksachsen.org,sachsen,,,Kammer,,,,,
,Notarkammer Sachsen,notarkammer@notarkammer-sachsen.de,http://www.notarkammer-sachsen.de/,sachsen,,,Kammer,,,,,
,Rechtsanwaltskammer Sachsen,info@rak-sachsen.de,www.rak-sachsen.de,sachsen,,,Kammer,,,,,
,Steuerberaterkammer Sachsen,kammer@sbk-sachsen.de,http://www.sbk-sachsen.de,sachsen,,,Kammer,,,,,
,Zahnärztekammer Sachsen,vorstand@kzv-sachsen.de,http://www.zahnaerzte-in-sachsen.de/,sachsen,,,Kammer,,,,,
,Apothekerkammer Sachsen-Anhalt,kammer@ak-sa.de,http://www.ak-sa.de,sachsen-anhalt,,,Kammer,,,,,
,Ärztekammer Ärztekammer Sachsen-Anhalt,info@aeksa.de,http://www.aeksa.de/homepage/index.html,sachsen-anhalt,,,Kammer,,,,,
,Notarkammer Sachsen-Anhalt,notarkammer.sachsen-anhalt@notarnet.de,http://www.notarkammer-sachsen-anhalt.de/,sachsen-anhalt,,,Kammer,,,,,
,Rechtsanwaltskammer Sachsen-Anhalt,info@rak-sachsen-anhalt.de,www.rak-sachsen-anhalt.de,sachsen-anhalt,,,Kammer,,,,,
,Tierärztekammer Sachsen-Anhalt,poststelle@taek-lsa.de,http://www.tieraerztekammer-sachsen-anhalt.de,sachsen-anhalt,,,Kammer,,,,,
,Zahnärztekammer Sachsen-Anhalt,info@zahnaerztekammer-sah.de,http://www.zaek-sa.de,sachsen-anhalt,,,Kammer,,,,,
HWK Halle (Saale),Handwerkskammer Halle (Saale),Leitung@hwkhalle.de,,sachsen-anhalt,,,Kammer,,,,,
,Apothekerkammer Schleswig-Holstein,geschaeftsstelle@ak-sh.aponet.de,http://www.apothekerkammer-schleswig-holstein.de,schleswig-holstein,,,Kammer,,,,,
,Architektenkammer Schleswig-Holstein,info@aik-sh.de,www.aik-sh.de,schleswig-holstein,,,Kammer,,,,,
,Ärztekammer Schleswig-Holstein,info@aeksh.org,http://www.aeksh.de/,schleswig-holstein,,,Kammer,,,,,
,Ingenieurkammer Schleswig-Holstein,info@aik-sh.de,http://www.aik-sh.de/,schleswig-holstein,,,Kammer,,,,,
,Landwirtschaftskammer Schleswig-Holstein,lksh@lksh.de,http://www.lksh.de,schleswig-holstein,,,Kammer,,,,,
,Notarkammer Schleswig-Holstein,info@notk-sh.de,http://www.anwaltsnotariat.net/,schleswig-holstein,,,Kammer,,,,,
,Psychotherapeutenkammer Schleswig-Holstein,Info@pksh.de,www.pksh.de,schleswig-holstein,,,Kammer,,,,,
,Rechtsanwaltskammer Schleswig-Holstein,info@rak-sh.de,www.rak-sh.de,schleswig-holstein,,,Kammer,,,,,
,Steuerberaterkammer Schleswig-Holstein,info@stbk-sh.de,http://www.stbk-sh.de,schleswig-holstein,,,Kammer,,,,,
,Tierärztekammer Schleswig-Holstein,Schleswig-Holstein@tieraerztekammer.de,http://www.tieraerztekammer-schleswig-holstein.de,schleswig-holstein,,,Kammer,,,,,
,Zahnärztekammer Schleswig-Holstein,central@zaek-sh.de,http://www.zahnaerztekammer-sh.de/,schleswig-holstein,,,Kammer,,,,,
HWK Flensburg,Handwerkskammer Flensburg,info@hwk-flensburg.de,,schleswig-holstein,,,Kammer,,,,,
IHK Flensburg,Industrie- und Handelskammer Flensburg,service@flensburg.ihk.de,,schleswig-holstein,,,Kammer,,,,,
IHK Kiel,Industrie- und Handelskammer Kiel,legband@kiel.ihk.de,,schleswig-holstein,,,Kammer,,,,,
,Apothekerkammer Thüringen,info@lakt.de,http://www.lak-thueringen.de,thueringen,,,Kammer,,,,,
,Architektenkammer Thüringen,info@architekten-thueringen.de,www.architekten-thueringen.de,thueringen,,,Kammer,,,,,
,Ärztekammer Thüringen,info@laek-thueringen.de,http://www.laek-thueringen.de/wcms/DocsID/index.html,thueringen,,,Kammer,,,,,
,Ingenieurkammer Thüringen,info@ikth.de,http://www.ingenieure-thueringen.de/,thueringen,,,Kammer,,,,,
,Notarkammer Thüringen,NotarkammerThuer@aol.com,http://www.notarkammer-thueringen.de/,thueringen,,,Kammer,,,,,
,Steuerberaterkammer Thüringen,info@stbk-thueringen.de,http://www.stbk-thueringen.de,thueringen,,,Kammer,,,,,
,Tierärztekammer Thüringen,ltk_thuer@t-online.de,http://www.landestieraerztekammer-thueringen.de,thueringen,,,Kammer,,,,,
,Zahnärztekammer Thüringen,h.neukoetter@lzkth.de,http://www.lzkth.de/,thueringen,,,Kammer,,,,,
HWK Erfurt,Handwerkskammer Erfurt,info@hwk-erfurt.de,,thueringen,,,Kammer,,,,,
HWK Gera/Ostthüringen,Handwerkskammer Gera/Ostthüringen,info@hwk-gera.de,,thueringen,,,Kammer,,,,,
HWK Suhl / Südthüringen,Handwerkskammer Suhl / Südthüringen,Friedhelm.Enke@hwk-suedthueringen.de,,thueringen,,,Kammer,,,,,
