other_names,name,email,url,jurisdiction__slug,address,contact,classification,tags,request_note,website_dump,description,parent__name
IHK Frankfurt (Oder) / Ostbrandenburg,Industrie- und Handelskammer Frankfurt (Oder) / Ostbrandenburg,moeller@ihk-ostbrandenburg.de,,brandenburg,,,Kammer,,,,,
IHK Frankfurt/Main,Industrie- und Handelskammer Frankfurt/Main,m.graessle@frankfurt-main.ihk.de,,hessen,,,Kammer,,,,,
IHK Freiburg / südl. Oberrhein,Industrie- und Handelskammer Freiburg / südl. Oberrhein,andreas.kempff@freiburg.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Fulda,Industrie- und Handelskammer Fulda,birkemeyer@fulda.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Gera / Ostthüringen,Industrie- und Handelskammer Gera / Ostthüringen,barth@gera.ihk.de,,nrw,,,Kammer,,,,,
IHK Gießen-Friedberg,Industrie- und Handelskammer Gießen-Friedberg,schmitt@giessen-friedberg.ihk.de,,hessen,,,Kammer,,,,,
IHK Hagen,Industrie- und Handelskammer Hagen,jacobi@hagen.ihk.de,,nrw,,,Kammer,,,,,
IHK Hamburg,Industrie- und Handelskammer Hamburg,Joern.Arfs@hk24.de,,hamburg,,,Kammer,,,,,
IHK Hanau,Industrie- und Handelskammer Hanau,a.knips@hanau.ihk.de,,hessen,,,Kammer,,,,,
IHK Heidenheim / Ostwürttemberg,Industrie- und Handelskammer Heidenheim / Ostwürttemberg,gring@ostwuerttemberg.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Kassel,Industrie- und Handelskammer Kassel,rudolff@kassel.ihk.de,,hessen,,,Kammer,,,,,
IHK Kiel,Industrie- und Handelskammer Kiel,legband@kiel.ihk.de,,schleswig-holstein,,,Kammer,,,,,
IHK Köln,Industrie- und Handelskammer Köln,susanne.hartmann@koeln.ihk.de,,nrw,,,Kammer,,,,,
IHK Konstanz / Hochrhein-Bodensee,Industrie- und Handelskammer Konstanz / Hochrhein-Bodensee,magdalena.riedmann@konstanz.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Krefeld / Mittlerer-Niederrhein,Industrie- und Handelskammer Krefeld / Mittlerer-Niederrhein,porschen@krefeld.ihk.de,,nrw,,,Kammer,,,,,
IHK Limburg-Lahn,Industrie- und Handelskammer Limburg-Lahn,n.oestreicher@limburg.ihk.de,,nrw,,,Kammer,,,,,
IHK Ludwigshafen / Pfalz,Industrie- und Handelskammer Ludwigshafen / Pfalz,sabine.fuchs-hilbrich@pfalz.ihk24.de,,rheinland-pfalz,,,Kammer,,,,,
IHK Mainz/ Rheinhessen,Industrie- und Handelskammer Mainz/ Rheinhessen,stefan.linden@rheinhessen.ihk24.de,,hessen,,,Kammer,,,,,
IHK Mannheim / Rhein-Neckar,Industrie- und Handelskammer Mannheim / Rhein-Neckar,christa.bender@rhein-neckar.ihk24.de,,baden-wurttemberg,,,Kammer,,,,,
IHK München,Industrie- und Handelskammer München,ihkmail@muenchen.ihk.de,,munchen,,,Kammer,,,,,
IHK Münster / Nord-Westfalen,Industrie- und Handelskammer Münster / Nord-Westfalen,wirtz@ihk-nordwestfalen.de,,nrw,,,Kammer,,,,,
IHK Neubrandenburg,Industrie- und Handelskammer Neubrandenburg,bodo.lubensky@neubrandenburg.ihk.de,,brandenburg,,,Kammer,,,,,
IHK Nürnberg,Industrie- und Handelskammer Nürnberg,kurt.hesse @nuernberg.ihk.de,,nurnberg,,,Kammer,,,,,
IHK Offenbach/Main,Industrie- und Handelskammer Offenbach/Main,linke@offenbach.ihk.de,,nrw,,,Kammer,,,,,
IHK Oldenburg,Industrie- und Handelskammer Oldenburg,michael.bruns@oldenburg.ihk.de,,nrw,,,Kammer,,,,,
IHK Passau / Niederbayern,Industrie- und Handelskammer Passau / Niederbayern,keilbart@passau.ihk.de,,passau,,,Kammer,,,,,
IHK Pforzheim / Nordschwarzwald,Industrie- und Handelskammer Pforzheim / Nordschwarzwald,hasch@pforzheim.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Potsdam,Industrie- und Handelskammer Potsdam,gottschling@potsdam.ihk.de,,brandenburg,,,Kammer,,,,,
IHK Regensburg,Industrie- und Handelskammer Regensburg,goetz@regensburg.ihk.de,,regensburg,,,Kammer,,,,,
IHK Reutlingen,Industrie- und Handelskammer Reutlingen,heise@reutlingen.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Rostock,Industrie- und Handelskammer Rostock,enge@rostock.ihk.de,,mecklenburg-vorpommern,,,Kammer,,,,,
IHK Schwerin,Industrie- und Handelskammer Schwerin,presse@ihkzuschwerin.ihk.de,,mecklenburg-vorpommern,,,Kammer,,,,,
IHK Siegen,Industrie- und Handelskammer Siegen,si@siegen.ihk.de,,nrw,,,Kammer,,,,,
IHK Suhl / Südthüringen,Industrie- und Handelskammer Suhl / Südthüringen,hartwig@suhl.ihk.de,,nrw,,,Kammer,,,,,
IHK Villingen – Schwarzwald-Baar-Heuberg,Industrie- und Handelskammer Villingen – Schwarzwald-Baar-Heuberg,beck@villingen-schwenningen.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Weingarten / Bodensee-Oberschwaben,Industrie- und Handelskammer Weingarten / Bodensee-Oberschwaben,gerstenkorn@weingarten.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Wiesbaden,Industrie- und Handelskammer Wiesbaden,g.bonnet@wiesbaden.ihk.de,,hessen,,,Kammer,,,,,
IHK Wuppertal,Industrie- und Handelskammer Wuppertal,t.waengler@wuppertal.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Würzburg-Schweinfurt,Industrie- und Handelskammer Würzburg-Schweinfurt,ferend@wuerzburg.ihk.de,,bayern,,,Kammer,,,,,
